gender,time_bin,mean,min,max
male,0.0,25696342.99094444,1.0,1544027357.0
male,0.02,123.14096111111111,73.58,205.02
male,0.03,132.56241666666668,71.18,190.52
male,0.05,132.39971111111112,65.23,202.87
male,0.07,123.48849444444446,65.03,204.27
male,0.08,121.73907222222222,70.42,199.27
male,0.1,124.98775,73.97,200.33
male,0.12,121.25181666666666,76.23,178.47
male,0.13,121.74122222222223,74.23,178.67
male,0.15,122.32098888888889,70.97,189.8
male,0.17,120.61862777777777,75.95,179.32
male,0.18,119.19388333333333,78.93,192.13
male,0.2,122.36406111111111,79.0,190.3
male,0.22,119.58750555555557,76.23,180.2
male,0.23,123.22039444444444,73.43,192.18
male,0.25,121.45929444444445,76.77,179.55
male,0.27,123.17551111111112,75.63,194.03
male,0.28,124.36743333333334,76.92,191.27
male,0.3,120.30027222222222,69.1,191.88
male,0.32,120.61523888888888,72.47,192.07
male,0.33,119.88817777777778,65.75,191.52
male,0.35,118.05911111111111,67.03,178.07
male,0.37,122.56398333333334,72.13,187.7
male,0.38,121.21915555555556,70.4,189.98
male,0.4,115.42604444444444,77.28,179.2
male,0.42,113.53591666666667,76.13,182.55
male,0.43,109.15076111111111,68.85,181.95
male,0.45,104.55407222222222,61.05,176.17
male,0.47,104.02672777777777,57.85,164.63
male,0.48,103.08033888888887,67.63,153.03
male,0.5,99.24846111111111,68.15,147.65
male,0.52,101.38267222222223,72.7,177.12
male,0.53,105.24721111111111,71.05,176.95
male,0.55,109.63232222222221,69.75,191.6
male,0.57,107.89974444444445,62.9,189.02
male,0.58,105.97034444444444,69.9,169.95
male,0.6,102.42333333333333,66.35,188.2
male,0.62,102.99476111111112,66.32,191.63
male,0.63,107.90445000000001,71.0,184.18
male,0.65,111.14966666666666,71.17,195.0
male,0.67,113.74380555555555,71.08,203.17
male,0.68,112.33211666666666,71.37,198.57
male,0.7,110.59367777777777,70.72,191.68
male,0.72,106.93596111111111,67.22,194.03
male,0.73,104.0145611111111,64.3,186.63
male,0.75,102.2669,56.37,184.83
male,0.77,101.92907777777778,58.38,173.67
male,0.78,103.88897222222222,61.95,206.08
male,0.8,104.9365611111111,64.65,206.12
male,0.82,105.83168888888889,61.48,186.5
male,0.83,105.09837222222222,61.22,194.47
male,0.85,103.06654444444445,70.2,191.45
male,0.87,95.27136666666667,60.82,162.65
male,0.88,95.30846111111111,58.87,175.12
male,0.9,95.81233333333334,57.63,167.22
male,0.92,98.13890555555555,64.48,165.57
male,0.93,94.58977222222222,56.52,158.63
male,0.95,91.19196666666667,54.03,158.03
male,0.97,90.81936666666665,66.95,142.68
male,0.98,94.30528888888888,64.07,144.28
male,1.0,93.12160555555556,65.47,131.18
male,1.02,91.36162222222222,62.15,121.95
male,1.03,91.70065555555556,61.6,123.3
male,1.05,88.57273888888888,60.97,119.72
male,1.07,86.52658888888888,58.38,122.87
male,1.08,85.59799444444445,58.37,133.32
male,1.1,84.30586666666666,53.12,137.12
male,1.12,90.75782222222222,56.4,157.85
male,1.13,88.47983888888888,58.97,139.58
male,1.15,90.18702777777777,64.45,121.38
male,1.17,90.82254999999999,68.98,129.17
male,1.18,92.02665555555556,61.05,122.23
male,1.2,91.21894444444445,65.33,121.4
male,1.22,89.43475555555555,61.15,114.45
male,1.23,89.74891111111111,62.83,116.22
male,1.25,90.27660555555556,61.65,116.63
male,1.27,90.85671111111111,58.48,144.2
male,1.28,87.17106111111111,62.85,122.92
male,1.3,85.55593888888889,62.63,121.4
male,1.32,86.90315000000001,61.07,170.22
male,1.33,88.6362,62.95,158.32
male,1.35,89.23353888888889,56.45,121.83
male,1.37,88.84011111111111,57.15,121.68
male,1.38,90.24568333333333,64.68,129.18
male,1.4,90.32652777777778,61.58,148.75
male,1.42,91.96214444444443,61.3,152.13
male,1.43,93.68556111111111,61.08,164.33
male,1.45,91.47738333333334,63.38,136.37
male,1.47,91.32509999999999,61.98,124.75
male,1.48,88.05723888888889,55.42,119.6
male,1.5,88.09621666666666,62.22,132.05
male,1.52,89.02594444444445,60.78,135.62
male,1.53,88.13742777777777,63.38,130.77
male,1.55,90.88440000000001,66.07,154.68
male,1.57,90.46104444444445,62.52,148.07
male,1.58,87.57609444444445,62.62,118.48
male,1.6,84.20850555555556,56.17,118.83
male,1.62,84.16423888888889,57.0,130.0
male,1.63,84.84647222222222,60.8,121.67
male,1.65,89.41964444444443,65.0,130.28
male,1.67,90.10081666666667,65.9,142.32
male,1.68,92.22106111111111,62.3,148.58
male,1.7,91.08113333333334,62.52,159.9
male,1.72,90.84101666666666,65.75,187.53
male,1.73,90.11581666666666,58.18,183.98
male,1.75,93.2686888888889,58.13,143.22
male,1.77,91.93492222222221,63.8,145.32
male,1.78,91.84375,66.4,139.32
male,1.8,90.63846666666666,61.95,130.8
male,1.82,90.70492777777777,58.9,122.55
male,1.83,90.41122777777777,61.42,134.0
male,1.85,87.91379444444443,59.95,137.42
male,1.87,89.49141111111112,66.93,130.0
male,1.88,89.65013333333333,67.18,125.27
male,1.9,91.5736111111111,61.52,132.52
male,1.92,93.34052777777778,65.95,135.33
male,1.93,93.86460555555556,65.43,144.8
male,1.95,90.38666666666667,59.82,143.42
male,1.97,93.03856111111111,63.4,150.85
male,1.98,93.94942777777779,60.17,155.13
male,2.0,91.0479888888889,56.75,143.25
male,2.02,87.07657777777777,60.05,136.3
male,2.03,86.88531666666667,63.53,129.33
male,2.05,86.99899444444445,62.93,117.1
male,2.07,86.1391111111111,61.03,150.85
male,2.08,89.67729444444444,56.38,180.77
male,2.1,89.95522777777778,59.13,163.35
male,2.12,87.72562222222221,57.73,127.8
male,2.13,90.42781666666667,54.08,140.05
male,2.15,90.77327777777778,56.57,144.05
male,2.17,89.98959444444444,60.1,134.35
male,2.18,89.80214444444444,59.72,131.02
male,2.2,92.91399444444444,64.97,143.8
male,2.22,90.38693888888888,59.47,144.12
male,2.23,90.16801666666666,60.22,149.05
male,2.25,86.85196111111111,65.93,123.65
male,2.27,87.28353333333332,64.17,126.03
male,2.28,86.43848333333332,57.33,132.35
male,2.3,86.68743888888889,62.58,123.22
male,2.32,88.25105,59.72,135.82
male,2.33,92.15157222222221,60.02,144.32
male,2.35,89.20087777777778,61.37,147.92
male,2.37,89.9295388888889,58.18,137.63
male,2.38,89.77063333333334,63.45,143.65
male,2.4,88.70843888888889,66.73,151.22
male,2.42,94.41546666666666,69.45,158.22
male,2.43,98.54191666666668,65.23,145.62
male,2.45,98.24086666666666,65.3,134.83
male,2.47,100.58975555555556,61.33,132.95
male,2.48,98.08132777777779,65.38,135.9
male,2.5,95.7629388888889,68.55,156.55
male,2.52,98.30308333333333,68.4,165.68
male,2.53,99.68044444444443,60.23,175.25
male,2.55,101.90511111111111,60.93,185.7
male,2.57,99.31969444444445,59.3,179.35
male,2.58,97.54801111111112,65.72,134.28
male,2.6,101.66106111111111,67.1,137.57
male,2.62,103.9642111111111,56.52,163.88
male,2.63,101.51243333333333,57.27,185.82
male,2.65,99.60429444444445,58.65,182.1
male,2.67,100.35228333333333,62.57,192.38
male,2.68,102.71606666666668,64.33,192.68
male,2.7,101.11109444444445,63.3,163.17
male,2.72,99.78910555555557,54.88,168.92
male,2.73,100.48438888888889,57.58,166.55
male,2.75,100.1803121516165,71.33,155.2
male,2.77,97.55529310344828,67.15,152.4
male,2.78,97.41679310344827,68.42,137.3
male,2.8,101.64609195402299,67.92,148.17
male,2.82,101.63040804597702,57.13,155.15
male,2.83,102.58694234129295,57.32,151.55
male,2.85,103.8546607142857,71.97,155.38
male,2.87,105.776,65.28,181.02
male,2.88,105.46785119047618,66.4,188.27
male,2.9,102.10129761904761,57.23,172.73
male,2.92,100.57923214285714,56.75,161.15
male,2.93,104.13967261904762,59.58,162.57
male,2.95,109.33433333333333,63.88,179.6
male,2.97,112.05892857142857,63.28,180.0
male,2.98,116.64880822746522,66.7,180.0
male,3.0,113.30918901660282,58.73,195.53
male,3.02,112.14044230769231,56.9,180.0
male,3.03,109.96785256410257,64.63,180.87
male,3.05,108.59347435897436,64.23,180.33
male,3.07,112.08935897435897,58.92,183.48
male,3.08,116.44153795379538,61.55,182.9
male,3.1,117.88766355140186,70.37,179.93
male,3.12,115.99251449275363,71.15,184.52
male,3.13,110.05684057971014,70.25,190.4
male,3.15,112.42951449275363,66.93,192.57
male,3.17,115.78744202898551,64.32,195.28
male,3.18,116.81841304347826,69.63,179.95
male,3.2,121.00660869565218,66.28,183.75
male,3.22,119.8626304347826,62.33,194.93
male,3.23,114.41276374442792,63.33,187.98
male,3.25,107.24217460317462,67.82,186.52
male,3.27,102.02695238095238,66.22,189.57
male,3.28,100.78386507936507,61.42,166.4
male,3.3,104.36418253968253,59.08,150.45
male,3.32,100.47002437043055,57.15,143.88
male,3.33,98.0377134986226,61.23,157.73
male,3.35,97.51803703703703,61.05,171.37
male,3.37,100.29580555555556,61.88,194.68
male,3.38,99.81429665071771,63.35,188.85
male,3.4,107.95216666666667,74.27,191.7
male,3.42,106.06713725490195,67.25,180.02
male,3.43,100.5665881147541,66.55,171.2
male,3.45,92.56539823008849,65.77,158.68
male,3.47,94.40072222222221,72.17,175.83
male,3.48,102.45392222222222,73.82,200.1
male,3.5,110.33344444444445,76.7,205.53
male,3.52,108.26245901639344,78.42,176.48
male,3.53,108.24079761904763,77.72,178.53
male,3.55,107.09132142857143,79.0,185.95
male,3.57,107.37078571428572,77.27,167.02
male,3.58,106.25030952380952,79.0,158.62
male,3.6,101.95512437810945,79.0,129.78
male,3.62,102.41858974358975,71.92,135.1
male,3.63,101.52070512820512,74.55,138.7
male,3.65,96.71282051282051,75.63,157.43
male,3.67,105.37907692307691,70.05,197.57
male,3.68,112.16032051282052,72.42,204.57
male,3.7,114.2451923076923,83.67,201.42
male,3.72,115.08657931034483,90.82,194.4
male,3.73,119.76719444444446,93.48,182.38
male,3.75,109.41263888888889,78.42,183.47
