student,exam,avg_value,signal,exam_score
S01,Final,66121.21987814785,HR,182
S01,Midterm 1,137909.50268015396,HR,78
S01,Midterm 2,138655.2791427801,HR,82
S10,Final,67045.00091433278,HR,116
S10,Midterm 1,131907.55455393836,HR,89
S10,Midterm 2,118858.1187361368,HR,64
S02,Final,61078.7677977812,HR,180
S02,Midterm 1,128644.07478917926,HR,82
S02,Midterm 2,111215.62653383295,HR,85
S03,Final,59918.06615286279,HR,188
S03,Midterm 1,126237.20367390414,HR,77
S03,Midterm 2,150713.7267617466,HR,90
S04,Final,97146.36166509525,HR,149
S04,Midterm 1,131843.92082149582,HR,75
S04,Midterm 2,115287.88659843108,HR,77
S05,Final,101396.22809801863,HR,157
S05,Midterm 1,128458.69153159914,HR,67
S05,Midterm 2,128505.29802814555,HR,77
S06,Final,64669.68575478799,HR,175
S06,Midterm 1,138222.53365243136,HR,71
S06,Midterm 2,108816.4809807516,HR,64
S07,Final,78713.67890127793,HR,110
S07,Midterm 1,124501.13493374274,HR,64
S07,Midterm 2,142784.41992226543,HR,33
S08,Final,86413.71187489519,HR,184
S08,Midterm 1,143011.20919613852,HR,92
S08,Midterm 2,155001.15240204945,HR,88
S09,Final,108828.67010493696,HR,126
S09,Midterm 1,121572.3880006312,HR,80
S09,Midterm 2,124206.3957083065,HR,39
S01,Final,16498.941837371975,EDA,182
S01,Midterm 1,34428.812945417856,EDA,78
S01,Midterm 2,34612.86652688019,EDA,82
S10,Final,16729.555455226506,EDA,116
S10,Midterm 1,32930.708296054785,EDA,89
S10,Midterm 2,29669.571945535405,EDA,64
S02,Final,15234.985229279542,EDA,180
S02,Midterm 1,32114.553490669263,EDA,82
S02,Midterm 2,27762.368617083528,EDA,85
S03,Final,14949.217334404391,EDA,188
S03,Midterm 1,31511.175573816556,EDA,77
S03,Midterm 2,37623.41609597221,EDA,90
S04,Final,24251.756771271877,EDA,149
S04,Midterm 1,32909.72855218319,EDA,75
S04,Midterm 2,28782.642265225517,EDA,77
S05,Final,25313.295506039773,EDA,157
S05,Midterm 1,32066.372176751647,EDA,67
S05,Midterm 2,32077.00665001494,EDA,77
S06,Final,16136.864710173457,EDA,175
S06,Midterm 1,34507.79754705783,EDA,71
S06,Midterm 2,27163.79174168331,EDA,64
S07,Final,19645.325629539075,EDA,110
S07,Midterm 1,31076.001003381545,EDA,64
S07,Midterm 2,35645.24682966109,EDA,33
S08,Final,21568.77666921512,EDA,184
S08,Midterm 1,35698.30075246341,EDA,92
S08,Midterm 2,38693.62876176752,EDA,88
S09,Final,27170.587581279353,EDA,126
S09,Midterm 1,30348.220049366893,EDA,80
S09,Midterm 2,31004.930777887857,EDA,39
S01,Final,1031.155027090706,BVP,182
S01,Midterm 1,2151.824777994126,BVP,78
S01,Midterm 2,2163.264204030322,BVP,82
S10,Final,1045.5956411843458,BVP,116
S10,Midterm 1,2058.123720754566,BVP,89
S10,Midterm 2,1854.3304712492725,BVP,64
S02,Final,952.189018646288,BVP,180
S02,Midterm 1,2007.0875954466692,BVP,82
S02,Midterm 2,1735.0840662497735,BVP,85
S03,Final,934.2973917302884,BVP,188
S03,Midterm 1,1969.5201696584952,BVP,77
S03,Midterm 2,2351.548572655217,BVP,90
S04,Final,1515.7323600132722,BVP,149
S04,Midterm 1,2056.9740722048964,BVP,75
S04,Midterm 2,1798.8343142459144,BVP,77
S05,Final,1582.0514258283586,BVP,157
S05,Midterm 1,2004.272242874087,BVP,67
S05,Midterm 2,2004.902793854716,BVP,77
S06,Final,1008.5288156144042,BVP,175
S06,Midterm 1,2156.6007101600535,BVP,71
S06,Midterm 2,1697.7811985636922,BVP,64
S07,Final,1227.8232975913952,BVP,110
S07,Midterm 1,1942.3778934757593,BVP,64
S07,Midterm 2,2227.834672852769,BVP,33
S08,Final,1348.0265339239863,BVP,184
S08,Midterm 1,2231.2469808419237,BVP,92
S08,Midterm 2,2418.4532141669542,BVP,88
S09,Final,1698.2145872612068,BVP,126
S09,Midterm 1,1896.7300205390168,BVP,80
S09,Midterm 2,1937.9334242685904,BVP,39
S01,Final,16524.67017417135,TEMP,182
S01,Midterm 1,34454.904248333856,TEMP,78
S01,Midterm 2,34639.87793382122,TEMP,82
S10,Final,16756.500344132626,TEMP,116
S10,Midterm 1,32957.937525349764,TEMP,89
S10,Midterm 2,29694.321670194346,TEMP,64
S02,Final,15263.38910820358,TEMP,180
S02,Midterm 1,32141.7427402061,TEMP,82
S02,Midterm 2,27790.115356692717,TEMP,85
S03,Final,14974.97736276503,TEMP,188
S03,Midterm 1,31540.248211258953,TEMP,77
S03,Midterm 2,37654.590199619306,TEMP,90
S04,Final,24292.564094037774,TEMP,149
S04,Midterm 1,32934.792664072855,TEMP,75
S04,Midterm 2,28808.354203472092,TEMP,77
S05,Final,25354.56291422011,TEMP,157
S05,Midterm 1,32097.038642556563,TEMP,67
S05,Midterm 2,32106.18398701785,TEMP,77
S06,Final,16168.168223462751,TEMP,175
S06,Midterm 1,34536.734722259585,TEMP,71
S06,Midterm 2,27190.511444276097,TEMP,64
S07,Final,19671.577673613763,TEMP,110
S07,Midterm 1,31106.400956995763,TEMP,64
S07,Midterm 2,35668.21563548939,TEMP,33
S08,Final,21598.118994775512,TEMP,184
S08,Midterm 1,35726.60392746162,TEMP,92
S08,Midterm 2,38727.85506852066,TEMP,88
S09,Final,27201.94998205047,TEMP,126
S09,Midterm 1,30376.81550490911,TEMP,80
S09,Midterm 2,31037.457264792243,TEMP,39
